country,product,date,price_wo_tax_forecast,price_with_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
IT,heating_oil,2026-08-17,1179.1429834610776,1921.5136391987826,1874.5638159733026,1968.4634624242626
IT,heating_oil,2026-08-24,1181.331043096506,1923.701698834211,1867.0399836696986,1980.3634139987232
IT,heating_oil,2026-08-31,1182.3186908397645,1924.6893465774695,1859.4910776849943,1989.8876154699446
IT,heating_oil,2026-09-07,1184.9965979900385,1927.3672537277434,1854.520766797055,2000.2137406584318
IT,heating_oil,2026-09-14,1185.1978257618014,1927.5684814995063,1847.7596120940132,2007.3773509049995
IT,heating_oil,2026-09-21,1185.2886560807947,1927.6593118184996,1841.4300250877416,2013.8885985492577
IT,heating_oil,2026-09-28,1185.3296551276765,1927.7003108653814,1835.4887861671136,2019.9118355636492
IT,heating_oil,2026-10-05,1187.8793221042818,1930.2499778419867,1832.418022392503,2028.0819332914705
IT,heating_oil,2026-10-12,1187.8876754335986,1930.2583311713036,1827.1103231404225,2033.4063392021847
IT,heating_oil,2026-10-19,1187.8914459646733,1930.2621017023782,1822.0582928113722,2038.4659105933843
IT,fuel_oil_1,2026-08-03,668.8481563647168,700.2381563647168,681.6022616352554,718.8740510941782
IT,fuel_oil_1,2026-08-10,668.8481563647168,700.2381563647168,673.1908787848744,727.2854339445593
IT,fuel_oil_1,2026-08-17,668.8481563647168,700.2381563647168,666.8343560331,733.6419566963336
IT,fuel_oil_1,2026-08-24,668.8481563647168,700.2381563647168,661.507386572367,738.9689261570667
IT,fuel_oil_1,2026-08-31,668.8481563647168,700.2381563647168,656.8292727022512,743.6470400271825
IT,fuel_oil_1,2026-09-07,669.9980298712852,701.3880298712852,653.7583140109638,749.0177457316066
IT,fuel_oil_1,2026-09-14,669.9980298712852,701.3880298712852,649.8822196645868,752.8938400779836
IT,fuel_oil_1,2026-09-21,669.9980298712852,701.3880298712852,646.2780748979602,756.4979848446102
IT,fuel_oil_1,2026-09-28,669.9980298712852,701.3880298712852,642.8955877161196,759.8804720264508
IT,fuel_oil_1,2026-10-05,671.2148018484297,702.6048018484297,640.9150584433153,764.2945452535441
IT,fuel_oil_1,2026-10-12,671.2148018484297,702.6048018484297,637.8754955528858,767.3341081439736
IT,fuel_oil_1,2026-10-19,671.2148018484297,702.6048018484297,634.9724002526278,770.2372034442316
IT,lpg,2026-08-03,470.87682265106247,754.7776423231936,747.401223115788,762.1540615305993
IT,lpg,2026-08-10,469.3861566750178,753.286976347149,741.1843743055892,765.3895783887087
IT,lpg,2026-08-17,468.31177247950944,752.2125921516406,735.7270265378245,768.6981577654567
IT,lpg,2026-08-24,467.53741966130065,751.4382393334317,730.8420625649937,772.0344161018699
IT,lpg,2026-08-31,466.97931177999084,750.880131452122,726.4295640355199,775.3306988687241
IT,lpg,2026-09-07,466.2161500073472,750.1169696794784,722.0528881692296,778.1810511897272
IT,lpg,2026-09-14,465.9262309928249,749.827050664956,718.3718687220801,781.2822326078322
