date,price_with_tax_eur_per_1000l,price_wo_tax_eur_per_1000l,tax_amount_eur_per_1000l,tax_share_of_price
2005-10-17,1123.4051815309065,541.0488374570231,582.3563440738834,0.5183849546432433
2005-10-24,1117.097157385432,535.1692992548465,581.9278581305855,0.5209285998834593
2005-11-07,1092.4002581444201,514.8240476043469,577.5762105400732,0.5287221476138786
2005-11-14,1076.6993813000868,501.0668397275188,575.632541572568,0.5346269827679352
2005-11-21,1057.10369069605,485.77961337812184,571.3240773179282,0.5404617185110192
2005-11-28,1055.1270489317621,483.5047055191279,571.6223434126342,0.5417568850986803
2005-12-05,1046.6601062686304,475.563820224228,571.0962860444024,0.5456368143048607
2005-12-12,1052.3726672732394,480.0178258882819,572.3548413849575,0.5438708731080627
2005-12-19,1054.7957920135646,482.5984805733139,572.1973114402506,0.5424721218767359
2006-01-09,1073.4956949791203,494.10183878288615,579.3938561962342,0.5397262969065781
2006-01-16,1070.404964294936,491.8817081357847,578.5232561591513,0.5404713874250557
2006-01-23,1072.3495107233055,493.28192597060604,579.0675847526994,0.5399989266205897
2006-01-30,1079.8017503428032,499.05872254673307,580.7430277960701,0.5378237510836619
2006-02-06,1084.5924092933844,503.16895609164766,581.4234532017367,0.5360755323564693
2006-02-13,1077.30500904718,497.00790132325227,580.2971077239276,0.5386562791879805
2006-02-20,1070.3669124596768,491.1693732697259,579.1975391899509,0.5411205563697492
2006-02-27,1073.1630439142716,493.21594240958274,579.9471015046888,0.540409124963324
2006-03-06,1079.780582529963,499.40147456023624,580.3791079697269,0.537497263203121
2006-03-13,1083.4668855930654,503.6755872172377,579.7912983758276,0.5351259979288273
2006-03-20,1089.6438592528928,509.07244152199917,580.5714177308936,0.5328084151540656
2006-03-27,1088.0379228018994,507.2770033712551,580.7609194306443,0.5337690049764785
2006-04-03,1095.570328013681,514.5838071941603,580.9865208195208,0.5303050894714133
2006-04-10,1098.3935478787118,516.8509984182948,581.542549460417,0.5294482570327633
2006-04-24,1129.4710669441456,542.4017298190051,587.0693371251405,0.5197736837239162
2006-05-01,1136.3422283357704,548.7035315720328,587.6386967637376,0.5171317954313496
2006-05-08,1135.644221647363,546.8875528195222,588.7566688278409,0.5184340813831569
2006-05-15,1128.7528325292233,541.3373236121864,587.4155089170368,0.5204111050607961
2006-05-22,1122.7823772179402,536.1705885882427,586.6117886296975,0.5224625898415146
2006-05-29,1111.9993718268088,527.2767270274094,584.7226447993994,0.5258300135896736
2006-06-05,1118.4442299481616,533.2513864633589,585.1928434848027,0.5232204054661944
2006-06-12,1121.5197711581966,535.4517756964025,586.0679954617941,0.522565906133389
2006-06-19,1114.9415713525204,530.2787957673874,584.6627755851331,0.5243887129223163
2006-06-26,1111.9453874970259,528.7474776928049,583.197909804221,0.524484310436317
2006-07-03,1121.6068051941702,536.9661663888746,584.6406388052956,0.5212527564007459
2006-07-10,1125.1593062901177,540.08337387815,585.0759324119676,0.519993861439127
2006-07-17,1133.1053453595825,546.1408891906491,586.9644561689335,0.5180140210023143
2006-07-24,1141.0587448197894,551.9414033733736,589.1173414464157,0.5162901069913423
2006-07-31,1136.3576221470519,548.1374508594238,588.2201712876281,0.5176364903297218
