country,product,target_date,snapshot_taken_on,horizon_weeks,model_used,price_with_tax_forecast,price_wo_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
IT,euro95,2026-07-20,2026-08-03,-2,sarimax,1779.257751739407,779.9643091164562,1748.0927473002937,1810.4227561785208
IT,euro95,2026-07-27,2026-08-03,-1,sarimax,1771.7045176430838,772.411075020133,1729.7548345814105,1813.6542007047567
IT,euro95,2026-08-03,2026-08-03,0,sarimax,1765.5462120316597,766.2527694087088,1713.809207276599,1817.28321678672
IT,euro95,2026-08-10,2026-08-03,1,sarimax,1762.5147300657663,763.2212874428154,1701.851485520854,1823.177974610678
IT,euro95,2026-08-17,2026-08-03,2,sarimax,1760.5942225503154,761.3007799273647,1691.7460631697709,1829.44238193086
IT,euro95,2026-08-24,2026-08-03,3,sarimax,1759.3775406902882,760.0840980673373,1682.9782307725168,1835.77685060806
IT,euro95,2026-08-31,2026-08-03,4,sarimax,1758.6067471700285,759.3133045470776,1675.1966567338454,1842.016837606211
IT,euro95,2026-09-07,2026-08-03,5,sarimax,1758.1617863915335,758.8683437685829,1668.2022682078573,1848.1213045752104
IT,euro95,2026-09-14,2026-08-03,6,sarimax,1757.8524292835325,758.5589866605817,1661.7389844516067,1853.9658741154583
IT,euro95,2026-09-21,2026-08-03,7,sarimax,1757.6564450561616,758.3630024332108,1655.7300930725028,1859.5827970398204
IT,euro95,2026-09-28,2026-08-03,8,sarimax,1757.5322849305826,758.2388423076318,1650.0890633229358,1864.9755065382287
IT,euro95,2026-10-05,2026-08-05,9,sarimax,2001.0843656882107,974.593873884932,1905.721125042484,2096.447606333938
IT,euro95,2026-10-12,2026-08-05,10,sarimax,2001.1907290750048,974.700237271726,1900.1832776533608,2102.198180496649
IT,euro95,2026-10-19,2026-08-05,11,sarimax,2001.2551251635848,974.764633360306,1894.8910880673336,2107.619162259836
IT,fuel_oil_1,2026-07-13,2026-08-03,-3,sarimax,593.5755386812783,562.1855386812783,575.0689642920322,612.0821130705244
IT,fuel_oil_1,2026-07-20,2026-08-03,-2,sarimax,593.5755386812783,562.1855386812783,566.8722904593053,620.2787869032513
IT,fuel_oil_1,2026-07-27,2026-08-03,-1,sarimax,593.5755386812783,562.1855386812783,560.6569476484909,626.4941297140657
IT,fuel_oil_1,2026-08-03,2026-08-03,0,sarimax,594.3322818562351,562.9422818562351,556.198257605397,632.4663061070733
